faculty_rank,Years Since PhD,Years Faculty Service,Sex,Salary,discipline
AssocProf,10,9,Male,100135,Applied
AsstProf,8,3,Male,75044,Applied
AssocProf,9,8,Male,90304,Applied
AsstProf,3,2,Male,75243,Applied
Prof,33,31,Male,109785,Applied
AssocProf,11,11,Female,103613,Applied
AsstProf,4,3,Male,68404,Applied
AssocProf,9,8,Male,100522,Applied
Prof,22,12,Male,101000,Applied
Prof,35,31,Male,99418,Applied
Prof,17,17,Female,111512,Applied
Prof,28,36,Male,91412,Applied
Prof,17,2,Male,126320,Applied
Prof,45,45,Male,146856,Applied
Prof,29,19,Male,100131,Applied
Prof,35,34,Male,92391,Applied
Prof,28,23,Male,113398,Applied
AsstProf,8,3,Male,73266,Applied
Prof,17,3,Male,150480,Applied
Prof,26,19,Male,193000,Applied
AsstProf,3,1,Male,86100,Applied
AsstProf,6,2,Male,84240,Applied
Prof,43,28,Male,150743,Applied
Prof,17,16,Male,135585,Applied
Prof,22,20,Male,144640,Applied
AsstProf,6,2,Male,88825,Applied
Prof,17,18,Female,122960,Applied
Prof,15,14,Male,132825,Applied
Prof,37,37,Male,152708,Applied
AsstProf,2,2,Male,88400,Applied
Prof,25,25,Male,172272,Applied
AssocProf,9,7,Male,107008,Applied
AsstProf,10,5,Female,97032,Applied
AssocProf,10,7,Male,105128,Applied
AssocProf,10,7,Male,105631,Applied
Prof,38,38,Male,166024,Applied
Prof,21,20,Male,123683,Applied
AsstProf,4,0,Male,84000,Applied
AssocProf,17,12,Male,95611,Applied
Prof,13,7,Male,129676,Applied
Prof,30,14,Male,102235,Applied
Prof,41,26,Male,106689,Applied
Prof,42,25,Male,133217,Applied
Prof,28,23,Male,126933,Applied
Prof,16,5,Male,153303,Applied
Prof,20,14,Female,127512,Applied
AssocProf,18,10,Male,83850,Theoretical
Prof,31,28,Male,113543,Theoretical
AssocProf,11,8,Male,82099,Theoretical
AssocProf,10,8,Male,82600,Theoretical
AssocProf,15,8,Male,81500,Theoretical
Prof,40,31,Male,131205,Theoretical
Prof,20,16,Male,112429,Theoretical
AssocProf,19,16,Male,82100,Theoretical
AsstProf,3,1,Male,72500,Theoretical
Prof,37,37,Male,104279,Theoretical
Prof,12,0,Female,105000,Theoretical
Prof,21,9,Male,120806,Theoretical
Prof,30,29,Male,148500,Theoretical
Prof,39,36,Male,117515,Theoretical
AsstProf,4,1,Male,72500,Theoretical
AsstProf,5,3,Female,73500,Theoretical
Prof,14,14,Male,115313,Theoretical
Prof,32,32,Male,124309,Theoretical
Prof,24,22,Male,97262,Theoretical
AssocProf,25,22,Female,62884,Theoretical
Prof,24,22,Male,96614,Theoretical
Prof,54,49,Male,78162,Theoretical
Prof,28,26,Male,155500,Theoretical
AsstProf,2,0,Female,72500,Theoretical
Prof,32,30,Male,113278,Theoretical
AsstProf,4,2,Male,73000,Theoretical
AssocProf,11,9,Male,83001,Theoretical
Prof,56,57,Male,76840,Theoretical
AssocProf,10,8,Female,77500,Theoretical
AsstProf,3,1,Female,72500,Theoretical
Prof,35,25,Male,168635,Theoretical
Prof,20,18,Male,136000,Theoretical
Prof,16,14,Male,108262,Theoretical
Prof,17,14,Male,105668,Theoretical
AssocProf,10,7,Male,73877,Theoretical
Prof,21,18,Male,152664,Theoretical
AssocProf,14,8,Male,100102,Theoretical
AssocProf,15,10,Male,81500,Theoretical
Prof,19,11,Male,106608,Theoretical
AsstProf,3,3,Male,89942,Applied
Prof,27,27,Male,112696,Applied
Prof,28,28,Male,119015,Applied
AsstProf,4,4,Male,92000,Applied
Prof,27,27,Male,156938,Applied
Prof,36,26,Female,144651,Applied
AsstProf,4,3,Male,95079,Applied
Prof,14,12,Male,128148,Applied
AsstProf,4,4,Male,92000,Applied
Prof,21,9,Male,111168,Applied
AssocProf,12,10,Female,103994,Applied
AsstProf,4,0,Male,92000,Applied
Prof,21,21,Male,118971,Applied
AssocProf,12,18,Male,113341,Applied
AsstProf,1,0,Male,88000,Applied
AssocProf,6,6,Male,95408,Applied
Prof,15,16,Male,137167,Applied
AsstProf,2,2,Male,89516,Applied
Prof,26,19,Male,176500,Applied
AssocProf,22,7,Male,98510,Applied
AsstProf,3,3,Male,89942,Applied
AsstProf,1,0,Male,88795,Applied
Prof,21,8,Male,105890,Applied
Prof,16,16,Male,167284,Applied
Prof,18,19,Male,130664,Applied
AssocProf,8,6,Male,101210,Applied
Prof,25,18,Male,181257,Applied
AsstProf,5,5,Male,91227,Applied
Prof,19,19,Male,151575,Applied
Prof,37,24,Male,93164,Applied
Prof,20,20,Male,134185,Applied
AssocProf,17,6,Male,105000,Applied
Prof,28,25,Male,111751,Applied
AssocProf,10,7,Male,95436,Applied
AssocProf,13,9,Male,100944,Applied
Prof,27,14,Male,147349,Applied
AsstProf,3,3,Female,92000,Applied
Prof,11,11,Male,142467,Applied
Prof,18,5,Male,141136,Applied
AssocProf,8,8,Male,100000,Applied
Prof,26,22,Male,150000,Applied
Prof,23,23,Male,101000,Applied
Prof,33,30,Male,134000,Applied
AssocProf,13,10,Female,103750,Applied
Prof,18,10,Male,107500,Applied
AssocProf,28,28,Male,106300,Applied
Prof,25,19,Male,153750,Applied
Prof,22,9,Male,180000,Applied
Prof,43,22,Male,133700,Applied
Prof,19,18,Male,122100,Applied
AssocProf,19,19,Male,86250,Applied
AssocProf,48,53,Male,90000,Applied
AssocProf,9,7,Male,113600,Applied
AsstProf,4,4,Male,92700,Applied
AsstProf,4,4,Male,92000,Applied
Prof,34,33,Male,189409,Applied
Prof,38,22,Male,114500,Applied
AsstProf,4,4,Male,92700,Applied
Prof,40,40,Male,119700,Applied
Prof,28,17,Male,160400,Applied
Prof,17,17,Male,152500,Applied
Prof,19,5,Male,165000,Applied
Prof,21,2,Male,96545,Applied
Prof,35,33,Male,162200,Applied
Prof,18,18,Male,120000,Applied
AsstProf,7,2,Male,91300,Applied
Prof,20,20,Male,163200,Applied
AsstProf,4,3,Male,91000,Applied
Prof,39,39,Male,111350,Applied
Prof,15,7,Male,128400,Applied
Prof,26,19,Male,126200,Applied
AssocProf,11,1,Male,118700,Applied
Prof,16,11,Male,145350,Applied
Prof,15,11,Male,146000,Applied
AssocProf,29,22,Male,105350,Applied
AssocProf,14,7,Female,109650,Applied
Prof,13,11,Male,119500,Applied
Prof,21,21,Male,170000,Applied
Prof,23,10,Male,145200,Applied
AssocProf,13,6,Male,107150,Applied
Prof,34,20,Male,129600,Applied
Prof,38,35,Male,87800,Theoretical
Prof,20,20,Male,122400,Theoretical
AsstProf,3,1,Male,63900,Theoretical
AssocProf,9,7,Male,70000,Theoretical
Prof,16,11,Male,88175,Theoretical
Prof,39,38,Male,133900,Theoretical
Prof,29,27,Female,91000,Theoretical
AssocProf,26,24,Female,73300,Theoretical
Prof,38,19,Male,148750,Theoretical
Prof,36,19,Female,117555,Theoretical
AsstProf,8,3,Male,69700,Theoretical
Prof,28,17,Male,81700,Theoretical
Prof,25,25,Male,114000,Theoretical
AsstProf,7,6,Female,63100,Theoretical
Prof,46,40,Male,77202,Theoretical
Prof,19,6,Male,96200,Theoretical
AsstProf,5,3,Male,69200,Theoretical
Prof,31,30,Male,122875,Theoretical
Prof,38,37,Male,102600,Theoretical
Prof,23,23,Male,108200,Theoretical
Prof,19,23,Male,84273,Theoretical
Prof,17,11,Female,90450,Theoretical
Prof,30,23,Male,91100,Theoretical
Prof,21,18,Male,101100,Theoretical
Prof,28,23,Male,128800,Theoretical
Prof,29,7,Male,204000,Theoretical
Prof,39,39,Male,109000,Theoretical
Prof,20,8,Male,102000,Theoretical
Prof,31,12,Male,132000,Theoretical
AsstProf,4,2,Female,77500,Theoretical
Prof,28,7,Female,116450,Theoretical
AssocProf,12,8,Male,83000,Theoretical
Prof,22,22,Male,140300,Theoretical
AssocProf,30,23,Male,74000,Theoretical
AsstProf,9,3,Male,73800,Theoretical
Prof,32,30,Male,92550,Theoretical
AssocProf,41,33,Male,88600,Theoretical
Prof,45,45,Male,107550,Theoretical
Prof,31,26,Male,121200,Theoretical
Prof,31,31,Male,126000,Theoretical
Prof,37,35,Male,99000,Theoretical
Prof,36,30,Male,134800,Theoretical
Prof,43,43,Male,143940,Theoretical
Prof,14,10,Male,104350,Theoretical
Prof,47,44,Male,89650,Theoretical
Prof,13,7,Male,103700,Theoretical
Prof,42,40,Male,143250,Theoretical
Prof,42,18,Male,194800,Theoretical
AsstProf,4,1,Male,73000,Theoretical
AsstProf,8,4,Male,74000,Theoretical
AsstProf,8,3,Female,78500,Theoretical
Prof,12,6,Male,93000,Theoretical
Prof,52,48,Male,107200,Theoretical
Prof,31,27,Male,163200,Theoretical
Prof,24,18,Male,107100,Theoretical
Prof,46,46,Male,100600,Theoretical
Prof,39,38,Male,136500,Theoretical
Prof,37,27,Male,103600,Theoretical
Prof,51,51,Male,57800,Theoretical
Prof,45,43,Male,155865,Theoretical
AssocProf,8,6,Male,88650,Theoretical
AssocProf,49,49,Male,81800,Theoretical
Prof,28,27,Male,115800,Theoretical
AsstProf,2,0,Male,85000,Theoretical
Prof,29,27,Male,150500,Theoretical
AsstProf,8,5,Male,74000,Theoretical
Prof,33,7,Male,174500,Theoretical
Prof,32,28,Male,168500,Theoretical
Prof,39,9,Male,183800,Theoretical
AssocProf,11,1,Male,104800,Theoretical
Prof,19,7,Male,107300,Theoretical
Prof,40,36,Male,97150,Theoretical
Prof,18,18,Male,126300,Theoretical
Prof,17,11,Male,148800,Theoretical
Prof,49,43,Male,72300,Theoretical
AssocProf,45,39,Male,70700,Theoretical
Prof,39,36,Male,88600,Theoretical
Prof,27,16,Male,127100,Theoretical
Prof,28,13,Male,170500,Theoretical
Prof,14,4,Male,105260,Theoretical
Prof,46,44,Male,144050,Theoretical
Prof,33,31,Male,111350,Theoretical
AsstProf,7,4,Male,74500,Theoretical
Prof,31,28,Male,122500,Theoretical
AsstProf,5,0,Male,74000,Theoretical
Prof,22,15,Male,166800,Theoretical
Prof,20,7,Male,92050,Theoretical
Prof,14,9,Male,108100,Theoretical
Prof,29,19,Male,94350,Theoretical
Prof,35,35,Male,100351,Theoretical
Prof,22,6,Male,146800,Theoretical
AsstProf,6,3,Male,84716,Applied
AssocProf,12,9,Female,71065,Applied
Prof,46,45,Male,67559,Applied
Prof,16,16,Male,134550,Applied
Prof,16,15,Male,135027,Applied
Prof,24,23,Male,104428,Applied
AssocProf,9,9,Male,95642,Applied
AssocProf,13,11,Male,126431,Applied
Prof,24,15,Female,161101,Applied
Prof,30,31,Male,162221,Applied
AsstProf,8,4,Male,84500,Applied
Prof,23,15,Male,124714,Applied
Prof,37,37,Male,151650,Applied
AssocProf,10,10,Male,99247,Applied
Prof,23,23,Male,134778,Applied
Prof,49,60,Male,192253,Applied
Prof,20,9,Male,116518,Applied
Prof,18,10,Female,105450,Applied
Prof,33,19,Male,145098,Applied
AssocProf,19,6,Female,104542,Applied
Prof,36,38,Male,151445,Applied
Prof,35,23,Male,98053,Applied
Prof,13,12,Male,145000,Applied
Prof,32,25,Male,128464,Applied
Prof,37,15,Male,137317,Applied
Prof,13,11,Male,106231,Applied
Prof,17,17,Female,124312,Applied
Prof,38,38,Male,114596,Applied
Prof,31,31,Male,162150,Applied
Prof,32,35,Male,150376,Applied
Prof,15,10,Male,107986,Applied
Prof,41,27,Male,142023,Applied
Prof,39,33,Male,128250,Applied
AsstProf,4,3,Male,80139,Applied
Prof,27,28,Male,144309,Applied
Prof,56,49,Male,186960,Applied
Prof,38,38,Male,93519,Applied
Prof,26,27,Male,142500,Applied
Prof,22,20,Male,138000,Applied
AsstProf,8,1,Male,83600,Applied
Prof,25,21,Male,145028,Applied
Prof,49,40,Male,88709,Theoretical
Prof,39,35,Male,107309,Theoretical
Prof,28,14,Female,109954,Theoretical
AsstProf,11,4,Male,78785,Theoretical
Prof,14,11,Male,121946,Theoretical
Prof,23,15,Female,109646,Theoretical
Prof,30,30,Male,138771,Theoretical
AssocProf,20,17,Male,81285,Theoretical
Prof,43,43,Male,205500,Theoretical
Prof,43,40,Male,101036,Theoretical
Prof,15,10,Male,115435,Theoretical
AssocProf,10,1,Male,108413,Theoretical
Prof,35,30,Male,131950,Theoretical
Prof,33,31,Male,134690,Theoretical
AssocProf,13,8,Male,78182,Theoretical
Prof,23,20,Male,110515,Theoretical
Prof,12,7,Male,109707,Theoretical
Prof,30,26,Male,136660,Theoretical
Prof,27,19,Male,103275,Theoretical
Prof,28,26,Male,103649,Theoretical
AsstProf,4,1,Male,74856,Theoretical
AsstProf,6,3,Male,77081,Theoretical
Prof,38,38,Male,150680,Theoretical
AssocProf,11,8,Male,104121,Theoretical
AsstProf,8,3,Male,75996,Theoretical
Prof,27,23,Male,172505,Theoretical
AssocProf,8,5,Male,86895,Theoretical
Prof,44,44,Male,105000,Theoretical
Prof,27,21,Male,125192,Theoretical
Prof,15,9,Male,114330,Theoretical
Prof,29,27,Male,139219,Theoretical
Prof,29,15,Male,109305,Theoretical
Prof,38,36,Male,119450,Theoretical
Prof,33,18,Male,186023,Theoretical
Prof,40,19,Male,166605,Theoretical
Prof,30,19,Male,151292,Theoretical
Prof,33,30,Male,103106,Theoretical
Prof,31,19,Male,150564,Theoretical
Prof,42,25,Male,101738,Theoretical
Prof,25,15,Male,95329,Theoretical
AsstProf,8,4,Male,81035,Theoretical
